pgn,white,black,result,moves,white_acpl,black_acpl,white_accuracy,black_accuracy,white_best_pct,black_best_pct,white_inacc,white_mistakes,white_blunders,black_inacc,black_mistakes,black_blunders
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,85.0,8.0,75.9,96.2,0.0,100.0,0,1,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,52.5,62.0,79.5,76.3,0.0,0.0,1,0,0,1,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,26.5,120.0,88.4,62.5,0.0,0.0,0,0,0,0,1,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,44.0,7.0,83.4,96.6,0.0,0.0,1,0,0,0,0,0
STOCKFISH_vs_AB.pgn,STOCKFISH,AB,1/2-1/2,3,49.5,45.0,82.4,81.6,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,80.0,19.0,71.4,91.3,0.0,100.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,11.0,3.0,94.8,98.5,0.0,0.0,0,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,10.0,149.0,95.2,57.3,0.0,0.0,0,0,0,0,1,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,79.0,40.0,71.7,83.3,0.0,0.0,1,0,0,0,0,0
AB_vs_STOCKFISH.pgn,AB,STOCKFISH,1/2-1/2,2,30.0,126.0,87.0,61.3,0.0,0.0,0,0,0,0,1,0
